품목명,평균가격,최고가격,최저가격,등급,일자
사과 양광_5,22200.0,26200.0,18200.0,중,200409
사과 홍로_10,15888.888888888889,19777.777777777777,12000.0,중,200409
사과 홍로_15,26047.619047619046,32809.52380952381,19285.714285714286,중,200409
사과 홍로_5,14738.095238095239,17809.52380952381,11666.666666666666,중,200409
사과 홍옥_15,25333.333333333332,32777.77777777778,17888.88888888889,중,200409
사과 홍월_15,22105.263157894737,28052.63157894737,16157.894736842105,중,200409
사과 홍월_5,11730.76923076923,14000.0,9461.538461538461,중,200409
사과 후지_10,14600.0,18000.0,12000.0,중,200409
사과 후지_15,19630.045454545456,26909.090909090908,12409.09090909091,중,200409
사과 후지_5,16048.0,17000.0,15000.0,중,200409
사과 아오리_10,15633.333333333334,20933.333333333332,10333.333333333334,하,200409
사과 아오리_15,11156.25,15000.0,7312.5,하,200409
사과 양광_10,12250.0,17500.0,7000.0,하,200409
사과 양광_15,15428.57142857143,21571.428571428572,9285.714285714286,하,200409
사과 양광_5,12800.0,17800.0,7800.0,하,200409
사과 홍로_10,9027.777777777777,12000.0,6055.555555555556,하,200409
사과 홍로_15,12333.333333333334,19047.619047619046,5619.047619047619,하,200409
사과 홍로_5,8571.42857142857,11666.666666666666,5476.190476190476,하,200409
사과 홍옥_15,12812.5,17375.0,8250.0,하,200409
사과 홍월_15,11263.157894736842,16157.894736842105,6368.421052631579,하,200409
사과 홍월_5,7153.846153846154,9307.692307692309,5000.0,하,200409
사과 후지_10,9246.0,12000.0,4000.0,하,200409
사과 후지_15,8235.818181818182,10681.818181818182,5772.727272727273,하,200409
사과 후지_5,15000.0,15000.0,15000.0,하,200409
사과 양광_10,38722.22222222222,44777.77777777778,32666.666666666668,특,200410
사과 양광_15,63500.0,72052.63157894737,54947.36842105263,특,200410
사과 양광_5,42500.0,45000.0,40000.0,특,200410
사과 조나골드_15,41050.0,43700.0,38400.0,특,200410
사과 홍로_15,38500.0,43222.22222222222,33777.77777777778,특,200410
사과 홍로_5,32500.0,38000.0,27000.0,특,200410
사과 홍옥_15,54115.38461538462,59461.53846153846,48769.230769230766,특,200410
사과 홍월_15,49050.0,53800.0,44300.0,특,200410
사과 후지_10,32122.0,37000.0,28000.0,특,200410
사과 후지_15,55870.37037037037,66185.18518518518,45555.555555555555,특,200410
사과 후지_5,18726.0,20000.0,17000.0,특,200410
사과 양광_10,27500.0,31555.555555555555,23444.444444444445,상,200410
사과 양광_15,44363.63636363636,51772.72727272727,36954.545454545456,상,200410
사과 양광_5,25666.666666666668,29583.333333333332,21750.0,상,200410
사과 조나골드_15,32050.0,37000.0,27100.0,상,200410
사과 홍로_10,27562.5,36875.0,18250.0,상,200410
사과 홍로_15,28277.777777777777,33777.77777777778,22777.777777777777,상,200410
사과 홍로_5,22500.0,27000.0,18000.0,상,200410
사과 홍옥_15,40923.07692307692,46538.46153846154,35307.692307692305,상,200410
사과 홍월_15,34650.0,42800.0,26500.0,상,200410
사과 홍월_5,23000.0,30000.0,16000.0,상,200410
사과 후지_10,22909.8,25800.0,20200.0,상,200410
사과 후지_15,37762.333333333336,44777.77777777778,30666.666666666668,상,200410
사과 후지_5,18857.14285714286,22571.428571428572,15142.857142857143,상,200410
사과 양광_10,18388.88888888889,22000.0,14777.777777777777,중,200410
사과 양광_15,29636.363636363636,36590.90909090909,22681.81818181818,중,200410
사과 양광_5,17375.0,21000.0,13750.0,중,200410
사과 조나골드_15,22200.0,27000.0,17400.0,중,200410
사과 홍로_15,18722.222222222223,22333.333333333332,15111.111111111111,중,200410
사과 홍로_5,14500.0,18000.0,11000.0,중,200410
사과 홍옥_15,26269.23076923077,34153.846153846156,18384.615384615383,중,200410
사과 홍월_15,21300.0,26200.0,16400.0,중,200410
사과 홍월_5,13500.0,16000.0,11000.0,중,200410
사과 후지_10,15795.6,18400.0,13400.0,중,200410
사과 후지_15,25402.25925925926,30629.62962962963,20222.222222222223,중,200410
사과 후지_5,12789.142857142857,15142.857142857143,10428.57142857143,중,200410
사과 양광_10,11388.888888888889,14555.555555555555,8222.222222222223,하,200410
사과 양광_15,16386.363636363636,22545.454545454544,10227.272727272728,하,200410
사과 양광_5,11250.0,13083.333333333334,9416.666666666666,하,200410
